date,dominant_id,open,high,low,close,settlement,prev_settlement,volume,open_interest,total_turnover,limit_up,limit_down
2014-01-02,JM1405,551.2170163828778,556.1631311859145,547.370038202738,549.0187431370836,551.2170163828778,555.613562874466,227108.0,243268.0,0,577.5962953324073,533.6308304165246
2014-01-03,JM1405,548.469174825635,548.469174825635,539.12651353101,541.8743550882526,543.5230600225983,551.2170163828778,211078.0,239652.0,0,573.199748840819,529.2342839249364
2014-01-06,JM1405,540.225650153907,547.370038202738,539.6760818424585,541.8743550882526,544.0726283340468,543.5230600225983,181220.0,232188.0,0,564.956224169091,522.0898958761055
2014-01-07,JM1405,542.4239233997013,550.1178797599806,538.027376908113,547.9196065141865,544.6221966454954,544.0726283340468,284394.0,236024.0,0,565.5057924805395,522.639464187554
2014-01-08,JM1405,547.370038202738,549.5683114485321,542.4239233997013,545.1717649569439,545.7213332683924,544.6221966454954,192954.0,233252.0,0,566.055360791988,523.1890324990026
2014-01-09,JM1405,544.0726283340468,550.1178797599806,535.2795353508703,537.4778085966644,541.8743550882526,545.7213332683924,326232.0,240472.0,0,567.1544974148852,524.2881691218996
2014-01-10,JM1405,538.027376908113,542.4239233997013,535.2795353508703,540.7752184653556,538.5769452195615,541.8743550882526,237622.0,242350.0,0,563.3075192347454,520.4411909417599
2014-01-13,JM1405,541.8743550882526,546.2709015798409,538.5769452195615,539.6760818424585,541.3247867768041,538.5769452195615,167632.0,247730.0,0,560.0101093660543,517.1437810730687
2014-01-14,JM1405,540.225650153907,545.1717649569439,537.4778085966644,544.0726283340468,541.8743550882526,541.3247867768041,164938.0,247882.0,0,562.7579509232969,519.8916226303114
2014-01-15,JM1405,544.0726283340468,545.1717649569439,538.5769452195615,540.225650153907,541.3247867768041,541.8743550882526,173680.0,244672.0,0,563.3075192347454,520.4411909417599
2014-01-16,JM1405,542.4239233997013,542.9734917111498,531.4325571707305,531.9821254821791,536.9282402852159,541.3247867768041,317382.0,270678.0,0,562.7579509232969,519.8916226303114
2014-01-17,JM1405,533.0812621050761,533.6308304165246,527.0360106791424,529.2342839249364,530.3334205478335,536.9282402852159,266352.0,250518.0,0,558.3614044317086,515.4950761387231
2014-01-20,JM1405,528.6847156134879,531.4325571707305,509.4498247127893,509.4498247127893,516.5942127616202,530.3334205478335,463128.0,263920.0,0,551.2170163828778,509.4498247127893
2014-01-21,JM1405,509.4498247127893,514.3959395158261,508.35068808989223,509.4498247127893,510.54896133568633,516.5942127616202,221938.0,249276.0,0,536.9282402852159,496.2601852380245
2014-01-22,JM1405,509.9993930242378,516.5942127616202,505.60284653264955,511.64809795858343,512.197666270032,510.54896133568633,225380.0,233414.0,0,530.882988859282,490.21493381209064
2014-01-23,JM1405,512.7472345814805,518.7924860074144,511.0985296471349,518.2429176959658,514.9455078272746,512.197666270032,197202.0,219458.0,0,532.5316937936276,491.86363874643627
2014-01-24,JM1405,516.5942127616202,527.0360106791424,513.296802892929,522.639464187554,520.9907592532085,514.9455078272746,394680.0,193300.0,0,535.2795353508703,494.61148030367895
2014-01-27,JM1405,520.4411909417599,522.639464187554,515.4950761387231,517.6933493845173,518.2429176959658,520.9907592532085,127224.0,189816.0,0,541.3247867768041,500.6567317296128
2014-01-28,JM1405,516.0446444501716,516.5942127616202,499.5575951067157,503.954141598304,506.1524148440981,518.2429176959658,286670.0,217878.0,0,538.5769452195615,497.9088901723701
2014-01-29,JM1405,505.60284653264955,514.3959395158261,503.40457328685545,510.54896133568633,508.90025640134076,506.1524148440981,216182.0,177038.0,0,525.9368740562453,486.36795563195096
2014-01-30,JM1405,508.90025640134076,512.7472345814805,507.8011197784437,509.9993930242378,509.9993930242378,508.90025640134076,77362.0,166832.0,0,544.0726283340468,473.72788446863467
2014-02-07,JM1405,512.7472345814805,512.7472345814805,499.0080267952672,500.6567317296128,502.8550049754069,509.9993930242378,145532.0,178752.0,0,545.1717649569439,474.8270210915318
2014-02-10,JM1405,500.6567317296128,512.197666270032,500.6567317296128,509.9993930242378,505.60284653264955,502.8550049754069,218902.0,198318.0,0,522.639464187554,483.07054576325976
2014-02-11,JM1405,509.4498247127893,510.54896133568633,503.954141598304,503.954141598304,506.7019831555466,505.60284653264955,178888.0,218042.0,0,525.3873057447967,485.8183873205024
2014-02-12,JM1405,503.40457328685545,511.64809795858343,503.40457328685545,509.4498247127893,507.8011197784437,506.7019831555466,246652.0,248844.0,0,526.4864423676938,486.9175239433995
2014-02-13,JM1405,509.4498247127893,512.197666270032,505.053278221201,506.1524148440981,508.35068808989223,507.8011197784437,256750.0,239144.0,0,527.5855789905909,488.01666056629654
2014-02-14,JM1405,506.1524148440981,510.54896133568633,505.60284653264955,508.90025640134076,507.8011197784437,508.35068808989223,153902.0,236216.0,0,528.6847156134879,488.01666056629654
2014-02-17,JM1405,508.35068808989223,523.7386008104511,506.1524148440981,520.4411909417599,515.4950761387231,507.8011197784437,505734.0,205418.0,0,527.5855789905909,488.01666056629654
2014-02-18,JM1405,520.4411909417599,520.4411909417599,513.8463712043775,514.9455078272746,517.1437810730687,515.4950761387231,167254.0,184532.0,0,535.8291036623189,495.16104861512747
2014-02-19,JM1405,517.1437810730687,524.8377374333481,516.5942127616202,518.2429176959658,520.4411909417599,517.1437810730687,305042.0,201180.0,0,537.4778085966644,496.80975354947304
2014-02-20,JM1405,517.6933493845173,518.7924860074144,511.64809795858343,512.7472345814805,513.8463712043775,520.4411909417599,206968.0,194344.0,0,540.7752184653556,500.10716341816425
2014-02-21,JM1405,514.3959395158261,516.0446444501716,509.9993930242378,512.197666270032,512.197666270032,513.8463712043775,152250.0,189104.0,0,534.1803987279733,493.51234368078184
2014-02-24,JM1405,509.9993930242378,509.9993930242378,494.06191199223036,497.9088901723701,498.4584584838186,512.197666270032,401850.0,216502.0,0,532.5316937936276,491.86363874643627
2014-02-25,JM1405,499.0080267952672,505.053278221201,497.9088901723701,500.6567317296128,501.7558683525098,498.4584584838186,287544.0,187710.0,0,518.2429176959658,478.6739992716715
2014-02-26,JM1405,500.6567317296128,507.8011197784437,500.10716341816425,505.60284653264955,503.954141598304,501.7558683525098,213494.0,186318.0,0,521.540327564657,481.97140914036265
2014-02-27,JM1405,505.60284653264955,506.7019831555466,501.7558683525098,503.954141598304,503.40457328685545,503.954141598304,120536.0,183408.0,0,523.7386008104511,484.1696823861568
2014-02-28,JM1405,503.954141598304,507.2515514669952,498.4584584838186,502.8550049754069,502.8550049754069,503.40457328685545,204794.0,182374.0,0,523.1890324990026,483.6201140747083
2014-03-03,JM1405,500.10716341816425,502.30543666395835,495.16104861512747,498.4584584838186,497.9088901723701,502.8550049754069,247314.0,189960.0,0,522.639464187554,483.07054576325976
2014-03-04,JM1405,499.5575951067157,499.5575951067157,478.6739992716715,490.21493381209064,487.467092254848,497.9088901723701,558608.0,213402.0,0,517.6933493845173,478.124430960223
2014-03-05,JM1405,491.31407043498774,494.61148030367895,485.8183873205024,490.21493381209064,489.6653655006421,487.467092254848,372352.0,182496.0,0,506.7019831555466,468.23220135414937
2014-03-06,JM1405,488.56622887774506,488.56622887774506,475.9261577144288,480.3227042060171,480.8722725174656,489.6653655006421,348182.0,199020.0,0,508.90025640134076,470.4304745999435
2014-03-07,JM1405,478.124430960223,481.4218408289141,461.637381616767,461.637381616767,469.880906288495,480.8722725174656,412750.0,194960.0,0,500.10716341816425,461.637381616767
2014-03-10,JM1405,456.14169850228166,457.2408351251787,451.1955836992449,451.1955836992449,452.84428863359045,469.880906288495,131736.0,189494.0,0,488.56622887774506,451.1955836992449
2014-03-11,JM1405,445.15033227331105,456.14169850228166,429.2128512413036,446.2494688962081,442.40249071606837,452.84428863359045,464026.0,155642.0,0,479.77313589456855,425.9154413726124
2014-03-12,JM1405,436.90680760158307,456.14169850228166,436.90680760158307,451.7451520106934,448.4477421420022,442.40249071606837,293312.0,139752.0,0,459.9886766824214,424.81630474971536
2014-03-13,JM1405,450.09644707634783,452.84428863359045,447.34860551910515,451.1955836992449,449.5468787648993,448.4477421420022,108108.0,134846.0,0,466.03392810835527,430.8615561756492
2014-03-14,JM1409,450.66663225293865,451.1955836992449,435.32704031005693,443.7902634509572,441.6744576657321,449.6087293603261,603792.0,179930.0,0,467.59307853473916,431.6243801859131
2014-03-17,JM1409,446.4350206824885,450.66663225293865,441.6744576657321,442.7323605583446,444.8481663435697,441.6744576657321,333188.0,183292.0,0,459.1298553938389,424.21905993762533
2014-03-18,JM1409,442.2034091120384,452.25348659185744,440.61655477311956,448.0218750214073,446.4350206824885,444.8481663435697,449128.0,194886.0,0,462.3035640716765,427.39276861546296
2014-03-19,JM1409,448.5508264677136,450.1376808066324,443.2613120046509,445.90606923618225,445.90606923618225,446.4350206824885,308686.0,200598.0,0,463.89041841059526,428.97962295438174
2014-03-20,JM1409,451.1955836992449,451.72453514555116,431.0954287396068,431.6243801859131,443.2613120046509,445.90606923618225,752812.0,289998.0,0,463.36146696428904,428.45067150807546
2014-03-21,JM1409,430.5664772933005,436.38494320266943,425.8059142765441,425.8059142765441,430.5664772933005,443.2613120046509,829314.0,315966.0,0,460.7167097327577,425.8059142765441
2014-03-24,JM1409,423.1611570450128,426.3348657228504,415.2268853504188,421.574302706094,419.9874483671752,430.5664772933005,877304.0,368088.0,0,455.9561467160013,405.17680787059976
2014-03-25,JM1409,419.4584969208689,436.38494320266943,417.34269113564386,436.38494320266943,426.8638171691567,419.9874483671752,700344.0,324942.0,0,436.38494320266943,403.589953531681
